canonical_name,place_type,classification,address,locality,province,postal_code,source_label,source_url,verification_status,notes
First Nations Health Authority,health_authority,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Fraser Health Authority,health_authority,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Interior Health Authority,health_authority,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Nisga'a Valley Health Authority,health_authority,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Northern Health Authority,health_authority,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Vancouver Coastal Health Authority,health_authority,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Vancouver Island Health Authority,health_authority,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Abbotsford Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Aberdeen Medical Centre Laboratory,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
ACL Medical Corporation GPSC In-Patient Incentives,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Ashcroft Family Medical Practice,organization,physical_place,100 - 700 Ash-Cache Creek Highway,Ashcroft,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/ashcroft-family-medical-practice/,verified_source,"Primary care clinic; Pathways lists clinic address. Appears to have been superseded locally by Ashcroft UPCC, but the MSP payee name is a physical clinic."
Barriere & District Health Society,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Brookswood Family Practice,organization,physical_place,4041 200B Street,Langley,BC,V3A 1P1,Cortico clinic profile,https://cortico.health/clinics/langley-bc/brookswood-family-practice-3165/,verified_source,"Physical family practice clinic; may be closed per later news, so do not merge into Brookswood Village Medical without separate review."
C A L Medical Services Limited,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Campbell River & District Div Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Campbell River & District Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Canadian Medical Protective Association Rebate Program,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Capri Medical Centre,organization,physical_place,132 - 1835 Gordon Drive,Kelowna,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/capri-medical-centre/,verified_source,Physical family practice clinic.
Capri Medical Centre Inc.,organization,physical_place,132 - 1835 Gordon Drive,Kelowna,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/capri-medical-centre/,verified_source,Corporate suffix appears to refer to the same physical Capri Medical Centre clinic.
Case Deena & Stuckey Michael Medical Corporation,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Castlegar & District Community Health Centre,organization,physical_place,709 - 10th Street,Castlegar,BC,V1N 2H7,Interior Health facility page,https://www.interiorhealth.ca/locations/castlegar-district-community-health-centre,verified_official,Official Interior Health location page.
Central Interior Rural Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
CGB Medical,organization,physical_place,202 - 1824 Gordon Drive,Kelowna,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/cgb-medical/,verified_source,Physical family practice clinic; Pathways lists clinic address.
Chase & District Health Society,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Chemainus Health Care Centre,organization,physical_place,9909 Esplanade Street,Chemainus,BC,V0R 1K1,Island Health facility page,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/chemainus-health-care-centre,verified_official,Official Island Health location page uses Chemainus Health & Urgent Care Centre for same facility.
Chetwynd Centre Med CL,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Chilliwack Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Comox Valley Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Continuing Medical Education Fund,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Cormorant Island Health Centre,organization,physical_place,49 School Road,Alert Bay,BC,V0N 1A0,Island Health facility page,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/cormorant-island-health-centre,verified_official,Official Island Health facility page.
Cowichan Valley Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Cowichan Valley Health-Care Society,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Dr. Thomas C Woods Inc.,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Drs Rebecca Lindley & Jeremy Coward Physicians Inc.,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
East Kootenay Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Elkford Health Care Centre Society,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
"Elkford Health Care Centre Society, The",organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Family Practice Services Committee,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
FHA Chilliwack Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
FHA Jim Pattison Outpatient Care & Surgery Center,organization,physical_place,9750 140th Street,Surrey,BC,V3T 0G9,HealthLinkBC service page,https://www.healthlinkbc.ca/find-care/find-health-services/program/jim-pattison-outpatient-care-and-surgery-centre,verified_source,Variant spelling Center; HealthLinkBC links to Fraser Health facility.
FHA Jim Pattison Outpatient Care & Surgery Centre,organization,physical_place,9750 140th Street,Surrey,BC,V3T 0G9,HealthLinkBC service page,https://www.healthlinkbc.ca/find-care/find-health-services/program/jim-pattison-outpatient-care-and-surgery-centre,verified_source,"Fraser Health facility, address verified via HealthLinkBC."
Fort Family Practice Associates,organization,physical_place,10011 96 Street,Fort St. John,BC,V1J 3P3,Clinic website,https://www.fsjfamilypractice.com/contact-us,verified_official,Shortened payee name for Fort St John Family Practice Associates.
Fort St John Family Practice Associates,organization,physical_place,10011 96 Street,Fort St. John,BC,V1J 3P3,Clinic website,https://www.fsjfamilypractice.com/contact-us,verified_official,Physical family practice clinic.
Four Oaks Medical Associates,organization,physical_place,5500 206th Street,Langley,BC,V3A 8R3,Clinic website,https://fouroaksmedical.ca/contact,verified_official,Clinic site uses Four Oaks Medical; payee name appears to be same clinic.
