canonical_name,place_type,classification,address,locality,province,postal_code,source_label,source_url,verification_status,notes
ABC MEDICAL CLINIC,clinic,physical_place,9842 101st Avenue,Fort St John,BC,V1J 2B2,HealthLinkBC - ABC Medical Clinic,https://www.healthlinkbc.ca/clinic/abc-medical-clinic,verified_source,HealthLinkBC lists ABC Medical Clinic as a family practice clinic at this address.
Gold River Health Clinic,clinic,physical_place,Box 580,Gold River,BC,V0P 1G0,BC Ministry of Health hospital address list,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/heath-care-partners/hospitallist.pdf,verified_source,Official hospital address list identifies Gold River Health Clinic as a diagnostic and treatment centre; source gives mailing address rather than street address.
MacKenzie Family Clinic - Locums,clinic,physical_place,45 Centennial Drive,Mackenzie,BC,,Pathways Medical Care - Mackenzie Family Health Clinic,https://pathwaysmedicalcare.ca/clinic/mackenzie-family-health-clinic/,verified_source,Locum payment label clearly maps to Mackenzie Family Health Clinic; Pathways lists the clinic address.
New Denver Clinic,clinic,physical_place,401 Galena Avenue,New Denver,BC,,Pathways Medical Care - New Denver Medical Clinic,https://pathwaysmedicalcare.ca/clinic/new-denver-medical-clinic/,verified_source,Name appears to refer to New Denver Medical Clinic; Pathways lists the clinic address.
NEW DENVER CLINIC - LOCUMS,clinic,physical_place,401 Galena Avenue,New Denver,BC,,Pathways Medical Care - New Denver Medical Clinic,https://pathwaysmedicalcare.ca/clinic/new-denver-medical-clinic/,verified_source,Locum payment label clearly maps to New Denver Medical Clinic; Pathways lists the clinic address.
NHA Tumbler Ridge Medical Clinic,clinic,physical_place,220 Front Street,Tumbler Ridge,BC,V0C 2W0,Shop Local Tumbler Ridge - Tumbler Ridge Medical Clinic,https://www.shoptumblerridge.ca/business-directory/tr-medical-clinic,verified_source,NHA prefix appears to be Northern Health Authority payment label; local District business directory lists Tumbler Ridge Medical Clinic at this address.
Village Medical Clinic,clinic,physical_place,190 Horse Lake Road,100 Mile House,BC,V0K 2E0,HealthLinkBC - Village Medical Clinic,https://www.healthlinkbc.ca/clinic/village-medical-clinic-0,verified_source,HealthLinkBC lists Village Medical Clinic as a family practice clinic at this address.
Aberdeen Medical Centre Laboratory,organization,physical_place,1966 Harrison Way,Kamloops,BC,,iNFOTEL - Aberdeen Medical Centre,https://infotel.ca/search/aberdeen-medical-centre/physicians-and-surgeons/kamloops-merritt-and-areas/200024922-1089,needs_review,Directory lists Aberdeen Laboratory under Aberdeen Medical Centre at 1966 Harrison Way; Pathways independently lists Aberdeen Medical Centre at the same address, but the lab itself was not found on an official clinic page.
Chetwynd Centre Med CL,organization,physical_place,5121 47th Avenue,Chetwynd,BC,,Medimap - Chetwynd Centre Medical Clinic,https://medimap.ca/clinic/walk-in-clinics/bc/chetwynd/chetwynd-centre-medical-clinic,needs_review,Abbreviated payee name appears to refer to Chetwynd Centre Medical Clinic; source is a clinic directory rather than an official health authority page.
Houston Health Care,organization,ambiguous,,,,,,,needs_review,Possible match to Houston Health Centre at 3202 14 St, but the payee name is generic and no authoritative source was found tying Houston Health Care to that facility.
Kirschner Medical,organization,physical_place,360 - 1855 Kirschner Road,Kelowna,BC,,Pathways Medical Care - Kirschner Medical Group,https://pathwaysmedicalcare.ca/clinic/kirschner-medical-group/,verified_source,Name appears to be shortened from Kirschner Medical Group; Pathways lists the clinic address.
Lake Country Medical,organization,ambiguous,,,,,,,needs_review,Possible local matches include Lake Country Family Practice and Lake Country Health; no authoritative exact match was found for Lake Country Medical.
Peninsula General Practice Group,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,Appears to be a general practice group or payment label rather than a specific public clinic; no authoritative public clinic address was found.
Port Hardy Physicians,organization,ambiguous,,,,,,,needs_review,Possible payment label for Port Hardy physician services; Port Hardy Primary Health Care Centre is a plausible facility, but the generic payee name does not clearly map to a single public clinic.
South Similkameen Health,organization,physical_place,700 - 3rd Street,Keremeos,BC,V0X 1N3,Interior Health - South Similkameen Health Centre,https://www.interiorhealth.ca/locations/south-similkameen-health-centre,verified_source,Name appears to be shortened from South Similkameen Health Centre; Interior Health lists the facility address.
Spectrum Health Care,organization,physical_place,702-1080 Howe Street,Vancouver,BC,V6Z 2T1,HealthLinkBC - Spectrum Health,https://www.healthlinkbc.ca/find-care/find-health-services/program/spectrum-health,verified_source,HealthLinkBC lists Spectrum Health as a family practice clinic at this address; name appears to correspond to Spectrum Health Care/Spectrum Health.
The Medical Centre,organization,ambiguous,,,,,,,needs_review,Generic name has multiple plausible matches and no authoritative source was found tying the payee name to one facility.
Vancouver Family Practice,organization,physical_place,301-555 West 12th Avenue,Vancouver,BC,V5Z 3X7,HealthLinkBC - Vancouver Family Practice,https://www.healthlinkbc.ca/clinic/vancouver-family-practice,verified_source,HealthLinkBC lists Vancouver Family Practice as a family practice clinic at this address.
Westside Medical Associates,organization,physical_place,103-1135 Stevens Road,West Kelowna,BC,V1Z 2S8,HealthLinkBC - Westside Medical Associates,https://www.healthlinkbc.ca/clinic/westside-medical-associates,verified_source,HealthLinkBC lists Westside Medical Associates as a family practice clinic at this address.
